<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
SPFB.RTS;0;20230428;090100;101060.000000000;1
SPFB.RTS;0;20230428;090100;101060.000000000;1
SPFB.RTS;0;20230428;090100;101060.000000000;1
SPFB.RTS;0;20230428;090100;101080.000000000;1
SPFB.RTS;0;20230428;090100;101070.000000000;1
SPFB.RTS;0;20230428;090100;101070.000000000;1
SPFB.RTS;0;20230428;090100;101060.000000000;1
SPFB.RTS;0;20230428;090100;101060.000000000;2
SPFB.RTS;0;20230428;090100;101060.000000000;3
SPFB.RTS;0;20230428;090100;101060.000000000;1
SPFB.RTS;0;20230428;090100;101060.000000000;1
SPFB.RTS;0;20230428;090100;101050.000000000;2
SPFB.RTS;0;20230428;090100;101050.000000000;2
SPFB.RTS;0;20230428;090100;101050.000000000;1
SPFB.RTS;0;20230428;090100;101050.000000000;1
SPFB.RTS;0;20230428;090100;101050.000000000;2
SPFB.RTS;0;20230428;090100;101050.000000000;1
SPFB.RTS;0;20230428;090100;101060.000000000;2
SPFB.RTS;0;20230428;090100;101050.000000000;2
SPFB.RTS;0;20230428;090100;101050.000000000;1
SPFB.RTS;0;20230428;090100;101050.000000000;2
SPFB.RTS;0;20230428;090100;101040.000000000;5
SPFB.RTS;0;20230428;090100;101040.000000000;1
SPFB.RTS;0;20230428;090100;101040.000000000;1
SPFB.RTS;0;20230428;090100;101040.000000000;1
SPFB.RTS;0;20230428;090100;101040.000000000;2
SPFB.RTS;0;20230428;090100;101040.000000000;1
SPFB.RTS;0;20230428;090100;101030.000000000;2
SPFB.RTS;0;20230428;090100;101030.000000000;1
SPFB.RTS;0;20230428;090100;101030.000000000;1
SPFB.RTS;0;20230428;090100;101040.000000000;2
SPFB.RTS;0;20230428;090100;101040.000000000;1
SPFB.RTS;0;20230428;090100;101030.000000000;1
SPFB.RTS;0;20230428;090100;101030.000000000;1
SPFB.RTS;0;20230428;090100;101030.000000000;1
SPFB.RTS;0;20230428;090100;101030.000000000;2
SPFB.RTS;0;20230428;090100;101030.000000000;1
SPFB.RTS;0;20230428;090100;101030.000000000;2
SPFB.RTS;0;20230428;090100;101020.000000000;1
SPFB.RTS;0;20230428;090100;101020.000000000;1
SPFB.RTS;0;20230428;090100;101020.000000000;1
SPFB.RTS;0;20230428;090100;101020.000000000;1
SPFB.RTS;0;20230428;090100;101020.000000000;1
SPFB.RTS;0;20230428;090100;101020.000000000;1
SPFB.RTS;0;20230428;090100;101020.000000000;2
SPFB.RTS;0;20230428;090100;101020.000000000;1
SPFB.RTS;0;20230428;090100;101010.000000000;1
SPFB.RTS;0;20230428;090100;101010.000000000;2
SPFB.RTS;0;20230428;090100;101010.000000000;1
SPFB.RTS;0;20230428;090100;101010.000000000;1
SPFB.RTS;0;20230428;090100;101010.000000000;1
SPFB.RTS;0;20230428;090100;101010.000000000;1
SPFB.RTS;0;20230428;090100;101010.000000000;2
SPFB.RTS;0;20230428;090100;101010.000000000;1
SPFB.RTS;0;20230428;090100;101010.000000000;1
SPFB.RTS;0;20230428;090100;101010.000000000;1
SPFB.RTS;0;20230428;090100;101010.000000000;2
SPFB.RTS;0;20230428;090100;101010.000000000;2
SPFB.RTS;0;20230428;090100;101000.000000000;1
SPFB.RTS;0;20230428;090100;101000.000000000;8
SPFB.RTS;0;20230428;090100;101000.000000000;1
SPFB.RTS;0;20230428;090100;101000.000000000;2
SPFB.RTS;0;20230428;090100;101000.000000000;1
SPFB.RTS;0;20230428;090100;101000.000000000;1
SPFB.RTS;0;20230428;090100;101020.000000000;2
SPFB.RTS;0;20230428;090100;101010.000000000;1
